text,label
I keep thinking I made a mistake somewhere,Anxiety
I worry about things before they even happen,Anxiety
I feel nervous speaking in front of people,Anxiety
I always think people are judging me,Anxiety
I panic when I don't get a reply quickly,Anxiety
I find it difficult to trust that everything will be okay,Anxiety
I constantly fear making the wrong decision,Anxiety
I get nervous over the smallest changes,Anxiety
I feel like my mind never gets a break,Anxiety
I keep imagining situations going badly,Anxiety
I feel overwhelmed by everything on my schedule,Stress
I have too many deadlines to handle,Stress
I can't keep up with all my responsibilities,Stress
I feel mentally exhausted after work,Stress
I have so much to finish today,Stress
I don't know where to start anymore,Stress
I feel pressure from every direction,Stress
I barely have time to rest,Stress
I am struggling to manage everything,Stress
I feel burnt out from work,Stress
I have too many things on my mind,Stress
I feel drained after this week,Stress
I can't balance work and personal life,Stress
I have been under constant pressure lately,Stress
I feel like I'm carrying too much responsibility,Stress
I can't catch a break these days,Stress
I feel overwhelmed with my workload,Stress
I have too many tasks piling up,Stress
I feel mentally worn out,Stress
I don't have enough time to finish everything,Stress
I keep falling behind on my work,Stress
I feel like I'm always rushing,Stress
I have too many commitments right now,Stress
I feel exhausted from constant responsibilities,Stress
I can't focus because of everything I need to do,Stress
I feel overloaded with work,Stress
I don't have enough hours in the day,Stress
I keep thinking about unfinished tasks,Stress
I feel under pressure to perform well,Stress
I have no time to relax anymore,Stress
I feel emotionally drained after work,Stress
I can't manage all these deadlines,Stress
I feel stretched too thin lately,Stress
I have too many responsibilities at once,Stress
I can't seem to keep everything organized,Stress
I feel overwhelmed by my to-do list,Stress
I have been working nonstop lately,Stress
I feel mentally overloaded,Stress
I don't know how to manage this workload,Stress
I feel pressured to meet expectations,Stress
Too many responsibilities are piling up,Stress
Everything feels demanding lately,Stress
The workload keeps increasing every day,Stress
Running out of time for everything,Stress
Deadlines are making me feel overwhelmed,Stress
Work has become mentally exhausting,Stress
Life feels too busy these days,Stress
Responsibilities keep stacking up,Stress
Barely getting enough time to breathe,Stress
The pressure keeps building every day,Stress
Finding it difficult to stay organized,Stress
Everything needs attention at once,Stress
Feeling completely overloaded today,Stress
Trying to handle too many things together,Stress
Constant responsibilities are wearing me out,Stress
The amount of work feels endless,Stress
Having trouble keeping up with everything,Stress
Every task feels urgent right now,Stress
Feeling trapped by endless deadlines,Stress
The workload is becoming unmanageable,Stress
Never getting enough time to rest,Stress
Too much is expected from me lately,Stress
Work pressure is becoming unbearable,Stress
The schedule feels impossible to manage,Stress
Everything feels like a race against time,Stress
No time left for myself anymore,Stress
Constant pressure is making me tired,Stress
The day feels packed from start to finish,Stress
Trying to juggle too many responsibilities,Stress
Every day feels more demanding than the last,Stress
Feeling drained by nonstop obligations,Stress
The pressure never seems to stop,Stress
Always feeling behind on my work,Stress
Too many expectations are weighing on me,Stress
Everything feels urgent all the time,Stress
Life has become overwhelming recently,Stress
Feeling completely buried in responsibilities,Stress
The workload is taking all my energy,Stress
Struggling to keep up with daily demands,Stress
Every responsibility feels heavier lately,Stress
I become tense before meeting new people,Anxiety
I struggle to feel calm in public places,Anxiety
I get anxious before leaving the house,Anxiety
I feel worried even on good days,Anxiety
I keep expecting something to ruin my day,Anxiety
I find myself worrying without any reason,Anxiety
I can't stop doubting myself,Anxiety
I feel nervous before checking my results,Anxiety
I overthink every message I send,Anxiety
I feel uneasy whenever my routine changes,Anxiety
I keep wondering if I said something wrong,Anxiety
I get anxious when I hear unexpected news,Anxiety
I worry about my health all the time,Anxiety
I can't relax because my mind keeps racing,Anxiety
I fear making even simple mistakes,Anxiety
I feel nervous before every appointment,Anxiety
I always think the worst will happen,Anxiety
I can't enjoy things because I keep worrying,Anxiety
I feel like I'm constantly under pressure,Anxiety
I worry about disappointing everyone,Anxiety
I feel nervous when someone calls unexpectedly,Anxiety
I keep thinking people are upset with me,Anxiety
I find it difficult to stay calm during uncertainty,Anxiety
I feel restless even during vacations,Anxiety
I get anxious while waiting in queues,Anxiety
I fear forgetting something important,Anxiety
I constantly need reassurance that everything is fine,Anxiety
I worry about my future every single day,Anxiety
Thoughts keep spinning without stopping,Anxiety
Every little uncertainty feels frightening,Anxiety
Feeling uneasy before ordinary activities,Anxiety
Always checking things more than once,Anxiety
Finding it hard to trust my own decisions,Anxiety
Waiting makes me extremely nervous,Anxiety
Unexpected situations make me panic,Anxiety
Mind keeps jumping to negative possibilities,Anxiety
Feeling tense around unfamiliar people,Anxiety
Tiny mistakes feel much bigger than they are,Anxiety
Always thinking about what might go wrong next,Anxiety
Feeling worried from the start of the day,Anxiety
Unable to relax before important events,Anxiety
Every delay makes me overthink,Anxiety
Constant fear of missing something important,Anxiety
Feeling uncomfortable without a clear reason,Anxiety
Second guessing every choice made today,Anxiety
Overanalyzing every social interaction,Anxiety
Fear of failure keeps growing,Anxiety
Constantly needing certainty before acting,Anxiety
Feeling nervous in completely normal situations,Anxiety
Simple responsibilities feel intimidating,Anxiety
Thoughts refuse to stay quiet,Anxiety
Feeling overwhelmed by too many possibilities,Anxiety
Fear appears before anything even happens,Anxiety
Mind keeps searching for potential problems,Anxiety
Getting nervous whenever plans are uncertain,Anxiety
Always expecting bad outcomes first,Anxiety
Feeling mentally exhausted from constant worry,Anxiety
Unable to stop imagining worst-case scenarios,Anxiety
Every notification makes me nervous for a moment,Anxiety
Being alone with my thoughts makes me anxious,Anxiety
Finding it difficult to enjoy peaceful moments,Anxiety
Feeling uneasy while waiting for important updates,Anxiety
Constant worry makes relaxing impossible,Anxiety
Small responsibilities create unnecessary fear,Anxiety
Every unanswered question increases my anxiety,Anxiety
Fear of uncertainty follows me everywhere,Anxiety
Feeling worried about things beyond my control,Anxiety
The day turned out better than expected,Normal
Enjoying some quiet moments before bed,Normal
Nothing feels overwhelming today,Normal
Happy with how today unfolded,Normal
